item_id,item_name,category,warehouse_id,stock_level,restock_threshold,supplier_id,cost_per_unit,selling_price,profit_margin,last_restock_date
I0001,Item_1,Clothing,W006,471,48,S020,28.94,948.89,0.36,2024-05-08 18:21:16.953859
I0002,Item_2,Furniture,W010,161,10,S015,411.14,100.41,0.36,2024-04-20 18:21:16.953889
I0003,Item_3,Clothing,W003,346,45,S005,414.04,169.83,0.43,2024-10-28 18:21:16.953896
I0004,Item_4,Toys,W008,438,20,S020,296.06,961.14,0.27,2025-02-07 18:21:16.953902
I0005,Item_5,Clothing,W010,360,8,S003,179.79,542.16,0.13,2024-03-30 18:21:16.953908
I0006,Item_6,Furniture,W002,256,39,S005,400.89,24.05,0.21,2024-07-12 18:21:16.953915
I0007,Item_7,Electronics,W009,71,30,S008,279.57,265.06,0.49,2024-02-29 18:21:16.953921
I0008,Item_8,Toys,W003,86,16,S008,413.84,455.44,0.34,2024-10-30 18:21:16.953927
I0009,Item_9,Electronics,W005,421,15,S008,317.57,695.98,0.38,2025-01-12 18:21:16.953935
I0010,Item_10,Electronics,W010,261,41,S012,393.28,735.83,0.1,2024-11-01 18:21:16.953941
I0011,Item_11,Electronics,W008,213,29,S008,301.29,995.47,0.31,2024-05-17 18:21:16.953947
I0012,Item_12,Food,W002,152,22,S011,210.0,294.64,0.12,2025-01-18 18:21:16.953953
I0013,Item_13,Food,W006,209,23,S014,479.18,542.84,0.33,2024-04-28 18:21:16.953959
I0014,Item_14,Electronics,W005,400,27,S008,272.85,537.99,0.47,2024-11-03 18:21:16.953965
I0015,Item_15,Toys,W010,60,42,S010,304.52,411.59,0.49,2025-01-20 18:21:16.953971
I0016,Item_16,Furniture,W009,267,22,S007,114.14,177.47,0.32,2024-10-15 18:21:16.953976
I0017,Item_17,Furniture,W005,261,30,S017,314.7,977.68,0.28,2024-03-25 18:21:16.953982
I0018,Item_18,Clothing,W002,217,10,S004,287.95,854.78,0.48,2024-03-25 18:21:16.953987
I0019,Item_19,Toys,W005,282,8,S013,96.5,503.35,0.37,2024-07-11 18:21:16.953993
I0020,Item_20,Food,W004,135,48,S004,34.5,607.21,0.13,2024-09-30 18:21:16.953999
I0021,Item_21,Electronics,W007,466,33,S005,304.16,234.99,0.29,2024-10-25 18:21:16.954004
I0022,Item_22,Clothing,W006,379,38,S004,383.03,548.35,0.2,2024-12-05 18:21:16.954010
I0023,Item_23,Furniture,W002,361,21,S018,264.08,698.02,0.29,2024-09-04 18:21:16.954015
I0024,Item_24,Food,W005,448,47,S006,117.25,520.02,0.28,2024-09-23 18:21:16.954021
I0025,Item_25,Food,W007,440,47,S002,334.93,990.38,0.33,2024-09-27 18:21:16.954026
I0026,Item_26,Electronics,W007,92,20,S011,44.65,615.23,0.24,2024-12-28 18:21:16.954032
