product_id,product_name,category,cost_per_unit,price_per_unit,stock_level,supplier_id,warehouse_id
1,manage,Books,906.9139268741678,1550.6099147297355,376,323,15
2,throw,Furniture,864.9110663547144,567.1151175537968,235,178,175
3,employee,Books,677.3178682261588,1788.4616914075466,167,176,10
4,her,Books,222.49158327538433,189.28391112922478,237,104,149
5,agreement,Books,641.3258225315095,1679.1638501616621,494,119,19
6,mean,Furniture,511.0222647831058,228.5336681783546,7,200,68
7,stuff,Furniture,720.0470387003159,159.4671117991407,310,70,22
8,message,Books,834.6023319089858,758.3510278289137,43,57,63
9,upon,Clothing,745.2942822145533,1915.2712412259148,276,409,38
10,pay,Food,848.0955582616724,1967.7978056736242,340,66,15
11,really,Food,73.2277096076136,444.03747688401063,153,400,70
12,tend,Food,41.30383785508931,339.843233541029,43,58,114
13,former,Furniture,265.915562022598,738.2589965318164,213,117,44
14,wall,Furniture,901.659423267542,707.3193397180938,201,425,158
15,product,Clothing,825.4226584741341,1531.2061213390502,383,307,104
16,store,Food,685.9000248173585,915.798090456116,155,21,24
17,himself,Food,703.7510807653188,1570.772992182301,220,79,86
18,writer,Books,729.4037645656305,1509.9905391988393,153,312,94
19,world,Furniture,943.1766734798995,1177.7053387455505,36,354,174
20,song,Food,833.869240784482,1675.3485944962274,226,47,132
21,our,Clothing,627.1564831567771,431.5131057777789,322,374,6
22,final,Clothing,669.0582809045691,365.53046653800095,121,171,38
23,report,Food,221.60285944051074,1513.768004080203,9,84,26
24,where,Furniture,660.7456369047097,527.3542712028262,339,108,147
25,player,Clothing,430.4322222942739,55.44904844975009,335,287,2
26,picture,Books,161.4322518996863,1828.3223288568493,181,271,68
27,fall,Clothing,808.3387910541086,1264.7272631644726,21,176,69
28,difficult,Electronics,515.1446288051142,917.6285111154843,434,318,47
29,herself,Electronics,977.6507912725274,1465.1861945176238,272,476,99
30,common,Furniture,288.8625609297797,699.9968795748074,194,70,157
31,clear,Food,485.86341118202597,1909.6488113360647,26,387,64
