transaction_id,user_id,item_id,category,warehouse_id,quantity,price_per_unit,total_price,timestamp,discount_applied,payment_method
T00001,U126,I0728,Toys,W003,7,398.3,2788.1,2025-01-17 18:21:16.969228,30,PayPal
T00002,U175,I0028,Food,W006,6,824.27,4945.62,2025-01-10 18:21:16.969248,21,Net Banking
T00003,U251,I0548,Food,W007,2,213.87,427.74,2024-09-07 18:21:16.969254,9,Debit Card
T00004,U021,I0372,Toys,W001,1,867.05,867.05,2025-01-09 18:21:16.969260,17,Net Banking
T00005,U485,I0832,Toys,W005,4,502.78,2011.12,2024-12-26 18:21:16.969265,12,Net Banking
T00006,U440,I0530,Furniture,W005,4,372.49,1489.96,2024-11-20 18:21:16.969271,7,Debit Card
T00007,U105,I0345,Electronics,W001,6,665.81,3994.8599999999997,2025-02-11 18:21:16.969276,8,PayPal
T00008,U066,I0419,Electronics,W004,5,347.98,1739.9,2025-01-24 18:21:16.969284,14,Credit Card
T00009,U443,I0196,Clothing,W010,9,353.82,3184.38,2024-10-23 18:21:16.969291,7,Net Banking
T00010,U263,I0078,Toys,W001,8,736.19,5889.52,2024-12-18 18:21:16.969297,32,Net Banking
T00011,U049,I0167,Toys,W001,9,316.73,2850.57,2024-10-31 18:21:16.969302,34,Credit Card
T00012,U016,I0090,Toys,W007,7,208.76,1461.32,2024-12-24 18:21:16.969308,18,Net Banking
T00013,U145,I0264,Toys,W007,9,809.57,7286.13,2024-08-31 18:21:16.969314,29,Debit Card
T00014,U340,I0472,Electronics,W003,3,807.32,2421.96,2024-10-01 18:21:16.969319,8,Credit Card
T00015,U250,I0208,Food,W007,9,502.61,4523.49,2024-12-11 18:21:16.969328,18,Credit Card
T00016,U343,I0724,Furniture,W003,2,531.39,1062.78,2024-11-10 18:21:16.969337,46,Debit Card
T00017,U354,I0271,Food,W002,9,699.12,6292.08,2025-01-02 18:21:16.969346,45,Debit Card
T00018,U075,I0263,Food,W010,6,514.18,3085.08,2024-10-01 18:21:16.969355,25,Credit Card
T00019,U290,I0506,Electronics,W004,4,422.87,1691.48,2025-01-04 18:21:16.969360,0,Debit Card
T00020,U417,I0785,Furniture,W010,2,994.95,1989.9,2024-09-08 18:21:16.969366,2,Net Banking
T00021,U282,I0512,Toys,W003,3,156.16,468.48,2024-11-15 18:21:16.969372,33,PayPal
T00022,U066,I0854,Electronics,W007,5,596.8,2984.0,2024-11-15 18:21:16.969377,24,Net Banking
T00023,U125,I0726,Electronics,W001,9,887.0,7983.0,2024-12-03 18:21:16.969382,29,Debit Card
T00024,U319,I0886,Furniture,W006,7,690.34,4832.38,2024-10-24 18:21:16.969390,0,Net Banking
T00025,U087,I0576,Clothing,W002,3,882.11,2646.33,2024-10-13 18:21:16.969398,17,PayPal
T00026,U041,I0524,Electronics,W008,4,342.97,1371.88,2024-09-12 18:21:16.969408,32,PayPal
T00027,U470,I0722,Food,W005,2,279.27,558.54,2025-02-12 18:21:16.969416,8,PayPal
T00028,U186,I0312,Food,W003,8,852.76,6822.08,2024-12-05 18:21:16.969425,6,Debit Card
T00029,U354,I0174,Toys,W010,6,400.17,2401.02,2025-02-22 18:21:16.969434,29,Debit Card
T00030,U380,I0431,Electronics,W007,3,712.59,2137.77,2025-01-02 18:21:16.969443,12,Debit Card
T00031,U335,I0768,Toys,W002,5,156.27,781.35,2024-09-24 18:21:16.969452,16,PayPal
T00032,U266,I0463,Electronics,W005,5,758.28,3791.3999999999996,2024-09-21 18:21:16.969461,12,Debit Card
T00033,U271,I0101,Furniture,W008,1,553.49,553.49,2024-09-04 18:21:16.969470,12,Credit Card
T00034,U042,I0016,Electronics,W001,5,275.93,1379.65,2025-01-18 18:21:16.969479,41,Net Banking
T00035,U093,I0709,Clothing,W001,6,499.56,2997.36,2024-10-02 18:21:16.969486,37,Net Banking
T00036,U185,I0258,Food,W003,2,699.97,1399.94,2024-12-17 18:21:16.969491,36,Credit Card
T00037,U215,I0896,Furniture,W003,3,21.77,65.31,2024-12-30 18:21:16.969496,9,Debit Card
T00038,U017,I0244,Food,W007,5,641.09,3205.4500000000003,2024-10-26 18:21:16.969502,13,Net Banking
T00039,U444,I0348,Toys,W006,3,546.17,1638.5099999999998,2024-12-28 18:21:16.969507,42,PayPal
T00040,U265,I0249,Furniture,W007,5,228.08,1140.4,2025-02-20 18:21:16.969512,4,Net Banking
T00041,U114,I0105,Clothing,W004,5,755.45,3777.25,2024-11-13 18:21:16.969517,35,Net Banking
T00042,U292,I0694,Food,W002,8,310.43,2483.44,2025-01-06 18:21:16.969523,34,Net Banking
T00043,U457,I0667,Electronics,W002,9,284.09,2556.81,2025-01-17 18:21:16.969529,45,Debit Card
T00044,U464,I0287,Electronics,W010,8,476.51,3812.08,2025-01-10 18:21:16.969534,44,Credit Card
T00045,U292,I0169,Electronics,W001,3,679.39,2038.17,2024-11-08 18:21:16.969540,22,Net Banking
T00046,U048,I0420,Furniture,W009,1,929.56,929.56,2024-09-19 18:21:16.969545,4,PayPal
