supplier_id,supplier_name,contact_email,reliability_score
1,"Richards, Guzman and Russell",shannon24@macdonald.com,68.72700594236812
2,"Williams, Reed and Harrison",bharris@doyle-young.com,97.53571532049581
3,Garcia and Sons,robertkent@harris.com,86.59969709057026
4,Frye-Gomez,padilladale@gillespie.info,79.93292420985183
5,"Kennedy, Camacho and Reynolds",jennifer97@crawford.com,57.80093202212183
6,"Cochran, White and Smith",barajasholly@glass.com,57.79972601681013
7,"Snyder, Stevens and Armstrong",piercejay@macdonald-stevens.com,52.90418060840997
8,"Hurley, Nichols and Finley",harrisondouglas@bailey.com,93.30880728874675
9,Crawford Ltd,bonniereed@allison-russell.com,80.05575058716045
10,"Drake, Carroll and Guerra",codyrogers@jones.com,85.40362888980228
11,Rich-Mendoza,kelly25@davis.com,51.029224714790125
12,Lewis-Cruz,mperez@owens.biz,98.49549260809971
13,Shepherd and Sons,smithmelissa@cochran.com,91.62213204002109
14,"Martin, Ward and Donaldson",brett14@moore.com,60.61695553391381
15,Williams LLC,jamie50@carpenter.com,59.09124836035503
16,Fletcher and Sons,brian60@miller-hahn.biz,59.17022549267169
17,"Duarte, Rios and Lowe",zbenitez@khan.net,65.21211214797688
18,"Pope, Coleman and Lopez",jasonrandall@miller.com,76.2378215816119
19,Walker PLC,gerald95@thompson.com,71.5972509321058
20,Briggs PLC,zlewis@wong-young.com,64.5614570099021
21,Mendoza and Sons,bakerkaren@grant-roberts.com,80.59264473611897
22,Rodriguez-Henson,nmoore@jones-ochoa.net,56.97469303260209
23,"Lopez, Austin and Thompson",williambaker@rodriguez.com,64.6072324267609
24,"Miller, Ramirez and Anderson",brandy63@ramos.com,68.31809216468459
25,Pacheco-Rhodes,nlewis@mccoy.com,72.8034992108518
26,Johnson-Ross,eedwards@smith.com,89.25879806965068
27,Duarte-Hawkins,manuel51@armstrong-miller.com,59.98368910791799
28,Hanson-Morgan,robert12@hall-olsen.com,75.71172192068059
29,Barnett-Hayes,matthew83@welch-smith.net,79.62072844310212
30,Salazar-Williams,rbenjamin@jones.com,52.32252063599989
31,Martinez-Anderson,kaylee21@johnson-ramirez.com,80.37724259507192
32,"Bryant, Jones and Stewart",wphillips@lopez.org,58.526206184364575
33,Mercer-Dudley,thomascontreras@solis.org,53.25257964926398
34,"Patterson, Preston and Montgomery",reynoldsandrea@davis.net,97.44427686266667
35,Hess Group,robert47@vazquez.info,98.28160165372796
36,Dominguez-Chambers,collierallison@burke.com,90.41986740582306
37,Massey-Williams,ryanclark@acosta.org,65.23068845866854
38,Hansen-Elliott,hernandezlaura@dunn.biz,54.883605700319194
39,Hooper-Silva,vasquezerin@cameron.com,84.21165132560785
40,Austin LLC,michael39@jones-cook.com,72.00762468698007
41,Hawkins Ltd,kclark@perry-rose.biz,56.10191174223894
42,Petersen Ltd,hansenjenna@bowman.info,74.75884550556351
43,"Jensen, Vargas and Livingston",dgeorge@vasquez.com,51.71942605576092
44,"Jones, Sims and Terrell",manuelsanchez@ellis-scott.com,95.4660201039391
45,Gutierrez-Wilson,jonathon20@frost.com,62.93899908000085
46,"Johnson, Moore and Johnson",jeremiahjones@ramirez-tran.com,83.1261142176991
47,Rice-Williams,kgarza@fischer-turner.com,65.58555380447055
48,Horne-Bautista,angelawatts@lewis.com,76.00340105889055
49,Smith-Walsh,connie96@conner-thomas.com,77.33551396716399
