warehouse_id,location,total_stock_value,operating_costs,profit_generated,staff_count,space_utilization
W001,City_1,171958,92386,214027,46,0.53
W002,City_2,196867,47194,272709,32,0.97
W003,City_3,181932,97498,219041,20,0.98
W004,City_4,415838,54131,287455,19,0.9
W005,City_5,309178,70263,123355,48,0.65
W006,City_6,169879,26023,255796,7,0.55
W007,City_7,160268,51090,234176,41,0.84
W008,City_8,257892,77221,204779,11,0.72
W009,City_9,104886,74820,278795,25,0.56
W010,City_10,187337,10769,176730,13,0.75
